City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Gabriel Leyva Solano,MX,25.67,-108.64,76.01,45,96,5.86,overcast clouds
83,Bambous Virieux,MU,-20.34,57.76,80.22,78,40,10.36,scattered clouds
84,Maridi,SS,4.92,29.47,67.3,84,2,4.09,clear sky
85,Tasiilaq,GL,65.61,-37.64,8.49,78,78,9.22,broken clouds
86,Saint-Augustin,CA,51.23,-58.65,36.18,85,100,12.62,overcast clouds
87,Bay Roberts,CA,47.60,-53.26,43.34,82,7,5.01,clear sky
88,Paamiut,GL,61.99,-49.67,25.59,68,88,12.28,overcast clouds
89,Avarua,CK,-21.21,-159.78,75.25,73,20,12.66,few clouds
90,Uray,RU,60.12,64.78,35.1,85,100,16.64,overcast clouds
91,Sawtell,AU,-30.38,153.10,82.72,83,40,17.27,light intensity shower rain
92,Faanui,PF,-16.48,-151.75,80.58,70,29,6.87,scattered clouds
93,Georgetown,MY,5.41,100.34,89.89,71,20,1.99,few clouds
94,Westport,US,41.14,-73.36,45.95,59,0,1.7,clear sky
95,Sao Filipe,CV,14.90,-24.50,78.37,72,73,8.39,broken clouds
96,Weyburn,CA,49.67,-103.85,32.22,74,90,3.44,overcast clouds
97,Mar Del Plata,AR,-38.00,-57.56,52.09,81,0,0.0,clear sky
98,Stornoway,GB,58.21,-6.39,45.93,73,72,37.29,broken clouds
99,Mount Isa,AU,-20.73,139.50,80.37,74,90,12.66,overcast clouds
100,Sitka,US,57.05,-135.33,37.58,75,9,3.44,clear sky
101,Asau,RO,46.43,26.40,46.76,70,100,2.19,light rain
102,Kushima,JP,31.46,131.23,72.91,62,45,13.0,scattered clouds
103,Windsor Locks,US,41.93,-72.63,40.32,88,0,1.07,clear sky
104,Awjilah,LY,29.11,21.29,66.22,48,4,4.56,clear sky
105,Kutum,SD,14.20,24.67,67.84,33,0,7.36,clear sky
106,Miranda De Ebro,ES,42.69,-2.95,46.81,83,98,3.11,overcast clouds
107,Touros,BR,-5.20,-35.46,81.5,84,4,10.63,clear sky
108,Aktash,RU,50.30,87.73,12.69,65,15,3.53,few clouds
109,Guerrero Negro,MX,27.98,-114.06,66.27,86,70,10.18,broken clouds
110,Verkhnyaya Inta,RU,65.98,60.31,34.21,98,100,14.34,light rain
111,Saint-Pierre,RE,-21.34,55.48,78.48,65,0,11.5,clear sky
112,Otofuke,JP,42.99,143.20,52.75,65,100,7.43,overcast clouds
113,Hermanus,ZA,-34.42,19.23,56.89,78,78,6.22,broken clouds
114,Carnarvon,AU,-24.87,113.63,73.47,64,1,17.27,clear sky
115,Linxia,CN,35.60,103.21,22.93,58,28,2.53,scattered clouds
116,Lompoc,US,34.64,-120.46,59.11,86,40,9.22,scattered clouds
117,Kirakira,SB,-10.45,161.92,83.39,75,10,6.51,clear sky
118,Ponta Do Sol,PT,32.67,-17.10,67.12,63,19,8.93,few clouds
119,Yenagoa,NG,4.92,6.26,76.15,94,100,3.42,overcast clouds
120,Albany,US,42.60,-73.97,34.41,82,0,1.9,clear sky
121,Severo-Kurilsk,RU,50.68,156.12,39.13,74,76,10.98,broken clouds
122,Kaitangata,NZ,-46.28,169.85,58.93,73,100,6.73,overcast clouds
123,Reconquista,AR,-29.15,-59.65,60.93,88,2,4.76,clear sky
124,Safaga,EG,26.73,33.94,67.95,45,0,8.48,clear sky
125,Thompson,CA,55.74,-97.86,30.36,100,90,0.0,light snow
126,Aklavik,CA,68.22,-135.01,14.83,98,83,0.38,broken clouds
127,Vaini,TO,-21.20,-175.20,80.76,94,75,9.22,broken clouds
128,Ostrovnoy,RU,68.05,39.51,33.26,67,100,22.57,overcast clouds
129,Kampot,KH,10.62,104.18,86.05,68,98,6.38,overcast clouds
130,Sur,OM,22.57,59.53,78.57,46,0,9.51,clear sky
131,Daru,PG,-9.08,143.21,86.04,70,69,8.95,broken clouds
132,Longyearbyen,SJ,78.22,15.64,13.84,67,40,6.91,scattered clouds
133,Te Anau,NZ,-45.42,167.72,67.71,38,98,5.48,overcast clouds
134,Destin,US,30.39,-86.50,54.97,71,1,1.01,clear sky
135,Parabel,RU,58.70,81.48,33.67,84,100,16.53,overcast clouds
136,Viedma,AR,-40.81,-63.00,57.16,52,100,14.79,overcast clouds
137,Yulara,AU,-25.24,130.99,73.24,68,75,11.5,broken clouds
138,Guane,CU,22.20,-84.09,68.04,73,14,5.39,few clouds
139,Kankan,GN,10.39,-9.31,74.07,74,10,3.85,clear sky
140,Blackwater,AU,-23.58,148.88,93.13,32,77,13.18,broken clouds
141,Charters Towers,AU,-20.10,146.27,95.34,27,7,17.94,clear sky
142,Faya,SA,18.39,42.45,53.71,64,0,2.3,clear sky
143,Wasilla,US,61.58,-149.44,31.78,91,90,3.44,overcast clouds
144,Hirara,JP,24.80,125.28,82.26,69,20,12.66,few clouds
145,Nabire,ID,-3.37,135.48,86.38,64,88,6.24,overcast clouds
146,Klaksvik,FO,62.23,-6.59,47.32,93,100,32.1,overcast clouds
147,Bluff,NZ,-46.60,168.33,60.8,80,99,14.58,overcast clouds
148,Phan Thiet,VN,10.93,108.10,85.15,69,97,4.36,overcast clouds
149,Lorengau,PG,-2.02,147.27,86.07,67,90,9.91,overcast clouds
150,Khatanga,RU,71.97,102.50,8.65,85,100,7.16,overcast clouds
151,Tadine,NC,-21.55,167.88,74.71,57,2,9.69,clear sky
152,Albanel,CA,48.88,-72.45,41.14,65,87,6.91,overcast clouds
153,Presque Isle,US,46.68,-68.02,37.18,69,0,5.44,clear sky
154,Victoria,HK,22.29,114.16,85.24,73,7,1.99,clear sky
155,Wattegama,LK,6.80,81.48,81.52,91,100,2.39,overcast clouds
156,Iqaluit,CA,63.75,-68.51,20.93,73,40,8.01,scattered clouds
157,Devrek,TR,41.22,31.96,57.4,66,93,2.98,overcast clouds
